FID,the_geom,KunstwerkN,Kunstenaar,LokatieBee,Lengtegraa,Breedtegra,Eigendom_v,Foto,Websitever,KunstwerkI,Contact,_timestamp
Kunstwerken.11,POINT (189301.63216013 424968.42932237),Zending der apostelen,Gerard Mathot,Sionsweg 2,"5,88462307","51,8122832",particulier,164.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=164,164,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.12,POINT (189299.86232356 427745.08184859),Sedes Sapientiae,Bart Welten,Berg en Dalseweg 207,"5,88485506","51,8372465",particulier,189.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=189,189,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.13,POINT (187149.44136378 426853.16192899),Geveldecoratie,Gé Tummers,Reestraat 49-53,"5,85357858","51,8293795",particulier,192.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=192,192,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.14,POINT (185481.35053012 424156.08423012),Vrouw met kind,Hans Bayens,Cort van der Lindenstraat/ De Kempenaerstraat,5.829154,51.805146,gemeente Nijmegen,226.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=226,226,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.15,POINT (188126.4946022 426465.04761072),Man met vogel,Gerard Bruning,Kapittelweg 35,5.867726,51.825806,particulier,151.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=151,151,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.16,POINT (186017.58021264 424334.74462265),Sculptuur,Gerard Bruning,Malderburchtstraat/Ruys de Beerenbrouckstraat,"5,83679246","51,8068078",gemeente Nijmegen,245.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=245,245,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.17,POINT (183345.33696765 424261.19079416),Uil,Gerard Bruning,Aldenhof 67-21,"5,79806907","51,8062387",gemeente Nijmegen,247.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=247,247,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.18,POINT (186255.02644528 429804.04048199),Sculptuur,Gerard Bruning,In opslag wegens wijziging omgeving,"5,84088216","51,8559253",gemeente Nijmegen,336.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=336,336,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.19,POINT (183528.72034907 424906.98633137),Zonder titel (beeld in twee delen),Gerard Bruning,Meijhorst 70-43,"5,80090515","51,8120561",gemeente Nijmegen,343.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=343,343,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.20,POINT (187674.08999668 429149.11399895),Muursculpturen,Gerard Bruning,Waalkade (ter hoogte van de Korte Brouwerstraat),5.861463,51.850073,gemeente Nijmegen,357.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=357,357,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.21,POINT (185338.30650066 424097.79703752),Het Ros Beiaard,Jan van Druten,Zijpendaalstraat,"5,82701378","51,8046811",gemeente Nijmegen,256.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=256,256,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.22,POINT (187865.97734819 428897.08524767),Afsluitpaal,Giuseppe Roverso,Vijfringengas,"5,86417863","51,8476808",gemeente Nijmegen,299.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=299,299,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.23,POINT (188817.85305744 426850.47060918),Pelikaan,Ben van Pinxteren,Bart Hendriksstraat,"5,87779327","51,8292372",gemeente Nijmegen,413.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=413,413,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.24,POINT (187927.79666041 429606.50187691),Kunstpaaltjes-route,Raoul Teulings,Pastoor van Laakstraat (Lent-Nijmegen),"5,865236","51,854155",gemeente Nijmegen,571.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=571,571,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.25,POINT (182926.28950786 425991.78925902),Observatietoren,Ronald Tolman,"Van Schuylenburgweg hoek Van Rosenburgweg (voorheen Voorstadslaan,terrein van De Gelderlander)","5,792257","51,821837",gemeente Nijmegen,508.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=508,508,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.26,POINT (188696.85638947 428566.83033398),Sculptuur,Jo Gijsen,Barbarossastraat,"5,87615565","51,8446674",gemeente Nijmegen,368.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=368,368,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.27,POINT (187822.90852094 428920.16589087),Afsluitpaal,Ben van Pinxteren,Achter de Hoofdwacht,"5,86352625","51,8479206",gemeente Nijmegen,547.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=547,547,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.28,POINT (187722.14078014 428631.45264187),Pierson-monument,Ronald Tolman,Piersonstraat,"5,86203334","51,8453301",gemeente Nijmegen,509.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=509,509,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.29,POINT (188329.81296357 427549.13439987),Sculptuur in drie delen,Jo Gijsen,Groesbeekseweg/Van Heutszstraat,"5,87081119","51,8355532",gemeente Nijmegen,399.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=399,399,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.30,POINT (187207.08142882 428570.7367004),De blauwe diender,Ronald Tolman,Stieltjesstraat,"5,85448182","51,8444321",particulier,540.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=540,540,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.31,POINT (188196.79757357 428786.59998939),Zonder titel,Narcisse Tordoir,Kelfkensbos,"5,86918963","51,8467271",gemeente Nijmegen,533.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=533,533,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.32,POINT (186520.30282061 425049.55751163),Cohesie,Oscar Goedhart,Einsteinstraat,"5,844276","51,813195",gemeente Nijmegen,422.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=422,422,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.33,POINT (187783.58892336 428892.36719475),Vier Kerkvaders,Giuseppe Roverso,Sint Stevenskerkhof 2,5.862954,51.847620,gemeente Nijmegen,176.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=176,176,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.34,POINT (187776.75630659 428893.82186377),Apostelcyclus,Giuseppe Roverso,Sint Stevenskerkhof 2,"5,86287403","51,8476884",gemeente Nijmegen,185.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=185,185,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.35,POINT (187821.82721389 428891.1188727),Mariken van Nieumeghen,Vera Tummers-van Hasselt,Grote Markt,"5,86350779","51,8476591",gemeente Nijmegen,130.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=130,130,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.36,POINT (187779.2342877 428893.26582515),Wapenreliëfs,Giuseppe Roverso,Sint Stevenskerkhof 2,5.862948,51.847641,gemeente Nijmegen,216.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=216,216,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.37,POINT (188095.42597108 428581.91915742),Tegelwand,Jos Rutten,Mariënburg 59,5.867454,51.844810,particulier,416.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=416,416,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.38,POINT (188545.89496062 425836.03452246),De natuuronderzoeker,Willem van der Velden,d'Almarasweg (Botanische tuin),5.874054,51.820076,particulier,554.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=554,554,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.39,POINT (187662.41075863 428905.38984738),WAT-ER-IS,Marc Ruygrok,Ganzenheuvel/Hezelstraat,5.861208,51.847776,gemeente Nijmegen,549.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=549,549,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.40,POINT (188465.45543671 431121.27833747),Glazen Paneel,Montse Hernandez i Sala,Eikenlaan (Lent-Nijmegen),"5,87309422","51,8676363",gemeente Nijmegen,570.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=570,570,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.41,POINT (187704.77127246 425175.37622747),Sculptuur,Adri Verhoeven,Kanunnik Mijllinckstraat/Kanunnik Pelsstraat,"5,86169456","51,8143063",particulier,410.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=410,410,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.42,POINT (186061.46800146 424365.83213179),Omgevingsvormgeving,Emanuel Viegers,Malderburchtstraat (entree Kandinsky College),"5,83758004","51,8070087",particulier,385.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=385,385,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.43,POINT (188010.48417793 428721.93577831),De Schommel,Henk Visch,Raadhuishof,5.866259,51.846098,gemeente Nijmegen,532.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=532,532,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.44,POINT (188166.71590583 427973.51787776),Sculptuur,Carel Visser,Prins Bernhardstraat (Julianapark),5.868557,51.839415,gemeente Nijmegen,504.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=504,504,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.45,POINT (181994.8245741 427228.28173419),Speelplastiek,Hans Vos,Leuvensbroek 20-10,"5,77884358","51,8329967",particulier,395.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=395,395,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.46,POINT (186615.59575326 428389.49911501),Sculptuur,Auke de Vries,Tweede Oude Heselaan 384,"5,84571537","51,8432302",particulier,390.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=390,390,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.47,POINT (187487.44584118 426334.40577189),Vliegende engelen,Auke Hettema,Geert Grooteplein 22,"5,85829024","51,8248078",particulier,205.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=205,205,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.48,POINT (186590.4802781 424882.48042226),Andersom,Wilna Haffmans,Marie Curiestraat/Marconistraat,"5,84521377","51,8114739",gemeente Nijmegen,340.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=340,340,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.49,POINT (184391.35385217 426932.66965151),Moeder met kind en vogel,Wilna Haffmans,O.C. Huismanstraat (in winkelcentrum Notenhout),"5,81394774","51,8300888",gemeente Nijmegen,378.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=378,378,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.50,POINT (188093.38361868 428056.66072894),Sculptuur,Auke de Vries,Prins Bernhardstraat (Julianapark),"5,86749486","51,8399642",gemeente Nijmegen,503.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=503,503,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.51,POINT (188010.35413376 428878.40385228),Omgevingsvormgeving,Johan Goedhart,Eiermarkt,"5,866319","51,847501",gemeente Nijmegen,381.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=381,381,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.52,POINT (188010.35582576 428878.40216),Omgevingsvormgeving,Paul van der Hoek,Eiermarkt,"5,866319","51,847501",gemeente Nijmegen,381.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=381,381,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.53,POINT (186524.86228049 428363.92657138),Sculptuur,Gerard Walraeven,Tweede Oude Heselaan 386,5.844793,51.843045,gemeente Nijmegen,319.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=319,319,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.54,POINT (188642.67943092 426409.85327641),Vogels,Albert Diekerhof,Van den Boenhoffstraat,5.875208,51.825279,particulier,234.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=234,234,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.55,POINT (188256.92696192 427055.55327235),Adelaar,Frans Coppelmans,Professor Huijbersstraat 3,5.869665,51.831115,particulier,148.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=148,148,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.56,POINT (188147.73963874 427947.37008867),Sculptuur,Sigurdur Gudmundsson,Prins Bernhardstraat (Julianapark),"5,86793882","51,8393918",gemeente Nijmegen,429.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=429,429,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.57,POINT (187634.17789554 424952.05683615),Michaël met de draak,Henk de Groot,Heemraadstraat 2,"5,86049753","51,8122354",particulier,179.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=179,179,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.58,POINT (188154.0231866 428888.33816212),Wandsculptuur,Krijn Giezen,Ridderstraat 27,5.868360,51.847479,particulier,269.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=269,269,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.59,POINT (188194.24049483 427883.00895122),Wording,Cor Beugeling,Julianapark,"5,86880822","51,8385649",gemeente Nijmegen,369.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=369,369,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.60,POINT (188471.11637026 428785.65358735),Twee zuilen,Peter van de Locht,Hunnerpark,"5,872597","51,846688",gemeente Nijmegen,703.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=703,703,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.61,POINT (188322.49397621 429438.39321098),Gedenksteen Jan van Hoof,Jac Maris,"Waalbrug, pijler aan Lentse zijde","5,870856","51,852519",gemeente Nijmegen,704.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=704,704,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.62,POINT (188179.98829797 426445.55993139),The Blue Borderline,Jan mulder,Heyendaalseweg,"5,868548","51,825837",particulier,705.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=705,705,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.63,POINT (182902.35426734 427422.53530634),Plastiek van de juiste en niet-juiste verhoudingen,Hans Koetsier,Broekstraat,"5,79186124","51,8347382",gemeente Nijmegen,372.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=372,372,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.64,POINT (187973.66532792 428827.82093837),Ingangspoort van het stadhuis,Cornelis Sass,Burchtstraat 20,"5,86575320","51,8470815",gemeente Nijmegen,2.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=2,2,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.65,POINT (187617.57417436 428991.52428048),Reliëf,Onbekend,Begijnenstraat 29,"5,86058232","51,8485121",gemeente Nijmegen,3.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=3,3,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.66,POINT (188877.45714063 426976.88392862),Vier gevelbeelden,Onbekend,Postweg 80 (Villa Gelders Hof),5.878629,51.830319,particulier,17.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=17,17,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.67,POINT (188192.30864883 428832.09309005),Spoorwegmonument Nijmegen-Kleve,Jan Jacob Weve,Hoogstraat bij Valkhof,"5,86887559","51,8471154",gemeente Nijmegen,23.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=23,23,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
Kunstwerken.68,POINT (188192.30864873 428832.09309004),Spoorwegmonument Nijmegen-Kleve,Christian Daniel Rauch,Hoogstraat bij Valkhof,"5,86887559","51,8471154",gemeente Nijmegen,23.01,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=23,23,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Monique Zoon
m.zoon@nijmegen.nl",20180315
