naam,bouwjaar,kunstenaar,locatie,latitude,longitude,omschrijving,eigendom,bron,url
"Poort van de Hof van Batenburg","1800","Onbekend","Sint Anthoniusplaats 1",51.8478156,5.86727237,"Deze poort bestaat uit een natuurstenen deuromlijsting, eind 18e eeuw met Ionische pilasters en guirlande-reliëf, afkomstig van het huis Ridderstraat 4. Gesneden dubbele deur.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=14"
"Zeemeermin","1800","Onbekend","Oude Haven 104",51.8495582,5.86167190,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=15"
"Poort Protestants Kinderen Weeshuis","1817","Onbekend","Begijnenstraat 29",51.8484990,5.86062360,"In deze poort uit 1817 bevinden zich nog oudere elementen: uit de oorspronkelijke poort van 1612 stamt het halfronde reliëf en de beelden van de weeskinderen zijn in 1646 door Mr. Gerhard Gröninger gemaakt. Het driehoekig fronton, dat de poort bekroond komt uit 1785.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=16"
"Vier gevelbeelden","1930","Onbekend","Postweg 80 (Villa Gelders Hof)",51.830319,5.878629,"De Amsterdamse koopman Bernhard Bahlmann liet tussen 1850 en 1855 een zomerverblijf aan de Postweg bouwen door architect Fritsen uit Kleve. Dit imponerende bouwwerk, het Gelders Hof, krijgt in zowel de voor- als achtergevel twee nissen. Bahlmann, die als jongeman veel naar Italië reisde en onder de indruk raakte van de klassieke oudheid, laat voor de nissen vier terracotta beelden in Italië maken. Hij kiest voor de beeldtaal die gebruikelijk is voor buitenplaatsen en laat vier toepasselijke figuren beeldhouwen: Diana (godin van de jacht), Venus (godin van de liefde), Vesta (godin van familieleven en huiselijk geluk) en Mercurius (god van handel en winst).

Wie de vier beschilderde terracotta beelden heeft gemaakt is niet bekend. De rijke koopman heeft kennelijk dicht bij huis geen geschikte kunstenaar kunnen vinden, omdat vaststaat dat hij ze speciaal in Italië liet maken.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=17"
"Poort Roomsch Katholiek Kinderen Weeshuis","1860","Pieter van der Kemp","Begijnenstraat 29",51.8487436,5.86041019,"
Voor deze poort in 1959, in licht vereenvoudigde vorm, in de tuin van het weeshuis geplaatst werd stond hij aan de Doddendaal waar hij de toegang vormde tot het rooms-katholieke weeshuis.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=18"
"Gevelsteen met Waterstand 1861","1861","Onbekend","Waalkade 65",51.8491364,5.86718873,"Deze gedenksteen in de gevel van de voormalige Zeilmakerij (nu een café) herinnert aan de watervloed, die Nijmegen en ommelanden eind januari en begin februari 1861 teisterde. In de strenge winter was de Waal dichtgevroren en bij het inzetten van de dooi begon het rivierpeil snel te stijgen. Hoewel her en der aarden dammen werden opgeworpen, kwam een groot deel van de benedenstad blank te staan. Een café werd door ijsschollen zelfs geheel vernield. Door een dijkdoorbraak bij Leeuwen liep het gehele Land van Maas en Waal onder. De ravage was zo groot dat koning Willem III een bezoek aan Nijmegen bracht. Hieraan wordt in deze gevelsteen ruim aandacht besteed.
Ook in de Lage Markt bevinden zich nog enkele gedenkstenen die aan de 'verbolgen vloed' herinneren.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=19"
"Dominicus","1880","Wilhelm Mengelberg","Heyendaalseweg 121 (Albertinum)",51.8270344,5.87131094,"Het dominicanenklooster Albertinum aan de Driehuizerweg - vanaf eind jaren '60 Heyendaalseweg - werd in de jaren 1930-1932 gebouwd naar een ontwerp van H.J.A. Bijlard en K. van Geyn. Er omheen was indertijd nog genoeg ruimte en er werd dan ook een grote tuin aangelegd rondom het gebouw. In de loop der jaren is het hele kloosterterrein omgeven door bebouwing. Nu wonen er studenten in het enorme gebouw.

In de tuin, bij de kapel, staat op een kleine sokkel het beeld van Dominicus.
De heilige Dominicus Guzman (1170 - 1221) was de stichter van de Dominicanen.
Hij richtte een dynamische orde op met als hoofdtaken prediking en zielzorg.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=20"
"Sint Jozef","1881","Onbekend","Van Berchenstraat (Kolpinghuis)",51.8443204,5.85847991,"De Kolpingvereniging, voorheen de St.-Joseph Gezellenvereniging is al sinds 1881 gevestigd in het tegenwoordige Kolpinghuis. Patroonheilige St. Jozef staat in een beeldnis boven de gedenksteen van de Gezellenvereniging. De nis bestaat uit twee gemetselde halfzuiltjes met natuurstenen kapitelen en een gemetselde rondboog met natuurstenen sluitsteen. De bekroning van de nis is in 1890 aangebracht. Ter hoogte van de console en de kapitelen bevinden zich natuurstenen waterlijsten.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=21"
"Wapen","1882","Onbekend","Smetiusstraat (Kolpinghuis)",51.8441521,5.85871678,"In de middelste nis van de voorgevel van het Kolpinghuis aan de Smetiusstraat verwijst de natuurstenen gedenksteen naar St. Jozef, de patroonheilige van timmerlieden en arbeiders in het algemeen en ook van de Gezellenvereniging St. Jozef, tegenwoordig de Kolpingvereniging. Op een schild zijn te zien de initialen 'SJ' met daaromheen een passer, een (tand)beitel, een winkelhaak, een hamer en een moker.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=22"
"Spoorwegmonument Nijmegen-Kleve","1884","Jan Jacob Weve","Hoogstraat bij Valkhof",51.8471154,5.86887559,"In 1884 werd dit monument in renaissancestijl opgericht als herinnering aan de aanleg van de spoorverbinding tussen Kleve en Nijmegen in 1865. Het ontwerp van het monument is van de Nijmeegse stadsarchitect Jan Jacob Weve (1852-1942). Het is een van de oudste beelden die Nijmegen rijk is. De gevleugelde figuur, Victoria -god van de overwinning-  is een afgietsel van één van de marmeren godinnen die de Duitse beeldhouwer Christian Daniël Rauch maakte voor het Walhalla in Regensburg. Deze tempel is gebouwd ter ere van beroemde Duitse vorsten, geleerden, kunstenaars, veldheren en geestelijken. Het beeld is als zinken afgietsel typerend voor die tijd. Zink was goedkoper dan andere metalen. 

Op de voorzijde van de sokkel staat: 'Eendracht maakt macht. Ter herinnering aan den bouw van den spoorweg Nijmegen-Cleve door Nijmeegs Burgerij. Geopend 8 augustus 1865'.  Het afgietsel is gemaakt door A. Cassner in Berlijn, zoals te lezen is linksonder aan de achterzijde van het beeld. 

Op oude foto's is te zien dat in de drie lege zijden van de sokkel een barometer, een uurwerk en een thermometer waren aangebracht.

Victoria staat voor de overwinning op het jarenlange isolement waarin de stad heeft verkeerd door het keurslijf van de verdedigingswerken. Na de slechting van deze verdedigingswerken was de spoorweg een belangrijke aanzet voor nieuwe verbindingen. 

Het beeld ligt aan de voet van het Valkhof en is in de loop van de jaren iets verplaatst ten opzichte van de oorspronkelijke locatie. Ook de stedelijke omgeving van het beeld had aan het einde van de 19e eeuw - met gebouwen als de Sociëteit - een heel ander karakter. Toch heeft dit beeld nog steeds een markante ligging in relatie tot het achterliggende Valkhof (waarvoor Jan Jacob Weve  twee bruggen en een hekwerk ontwierp).

Christian Daniël Rauch, de ontwerper van de Victoria-figuur, was een vooraanstaande Duitse beeldhouwer uit de eerste helft van de 19e eeuw. Zijn stijl wordt gekenmerkt door een mengeling van classicisme en realisme.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=23"
"Spoorwegmonument Nijmegen-Kleve","1884","Christian Daniel Rauch","Hoogstraat bij Valkhof",51.8471154,5.86887559,"In 1884 werd dit monument in renaissancestijl opgericht als herinnering aan de aanleg van de spoorverbinding tussen Kleve en Nijmegen in 1865. Het ontwerp van het monument is van de Nijmeegse stadsarchitect Jan Jacob Weve (1852-1942). Het is een van de oudste beelden die Nijmegen rijk is. De gevleugelde figuur, Victoria -god van de overwinning-  is een afgietsel van één van de marmeren godinnen die de Duitse beeldhouwer Christian Daniël Rauch maakte voor het Walhalla in Regensburg. Deze tempel is gebouwd ter ere van beroemde Duitse vorsten, geleerden, kunstenaars, veldheren en geestelijken. Het beeld is als zinken afgietsel typerend voor die tijd. Zink was goedkoper dan andere metalen. 

Op de voorzijde van de sokkel staat: 'Eendracht maakt macht. Ter herinnering aan den bouw van den spoorweg Nijmegen-Cleve door Nijmeegs Burgerij. Geopend 8 augustus 1865'.  Het afgietsel is gemaakt door A. Cassner in Berlijn, zoals te lezen is linksonder aan de achterzijde van het beeld. 

Op oude foto's is te zien dat in de drie lege zijden van de sokkel een barometer, een uurwerk en een thermometer waren aangebracht.

Victoria staat voor de overwinning op het jarenlange isolement waarin de stad heeft verkeerd door het keurslijf van de verdedigingswerken. Na de slechting van deze verdedigingswerken was de spoorweg een belangrijke aanzet voor nieuwe verbindingen. 

Het beeld ligt aan de voet van het Valkhof en is in de loop van de jaren iets verplaatst ten opzichte van de oorspronkelijke locatie. Ook de stedelijke omgeving van het beeld had aan het einde van de 19e eeuw - met gebouwen als de Sociëteit - een heel ander karakter. Toch heeft dit beeld nog steeds een markante ligging in relatie tot het achterliggende Valkhof (waarvoor Jan Jacob Weve  twee bruggen en een hekwerk ontwierp).

Christian Daniël Rauch, de ontwerper van de Victoria-figuur, was een vooraanstaande Duitse beeldhouwer uit de eerste helft van de 19e eeuw. Zijn stijl wordt gekenmerkt door een mengeling van classicisme en realisme.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=23"
"Leeuw en stadswapen","1885","Henri Leeuw sr.","Sint Stevenskerkhof (achtergevel kerkboog)",51.847727,5.863283,"Geen omschrijving.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=24"
"Vier leeuwen","1886","Henri Leeuw sr.","Grote markt (Waaggebouw)",51.8478107,5.86362605,"Het huidige waaggebouw is in 1612-13 gebouwd in de Hollandse renaissancestijl, naar het ontwerp van Meester Cornelis Janssen van Delft. Het gebouw kreeg al meteen na de bouw meerdere functies. Aan de rechterzijde bevond zich de stadswaag. De grote poort die hiervan de toegang vormt, was bedoeld om karren binnen te laten rijden. In het linker deel, achter de bordestrap, lag de vleeshal. Onder de trap waren korte tijd zelfs twee kleine woningen. De bovenverdieping huisvestte - tot in 1885 - de militaire hoofdwacht. Aan dit laatste feit dankt het straatje links van de waag overigens haar naam: Achter de Hoofdwacht.

Het waaggebouw is erg opvallend door alle rijke versieringen aan de buitenzijde. De sierlijke natuursteenelementen, dakkapelletjes, glas-in-loodramen en nog oorspronkelijke zwart-rode luiken geven het gebouw een levendige aanblik. Op de eerste verdieping zijn bij de toegangsdeur twee reliëfs geplaatst die elk twee leeuwen afbeelden die het stadswapen vasthouden. De balustrade van de bordestrap wordt bekroond met twee wapendragende leeuwen.
Twee paar Karyatiden sieren de voorzijde van de bordestrap.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=25"
"Leeuw","1886","Henri Leeuw jr.","Kronenburgerpark",51.8459542,5.85780483,"Trots en fierheid spreken uit deze twee meter hoge zandstenen leeuw op een even zo hoge sokkel. Deze houding heeft betrekking op het trotse gevoel van de Nijmeegse bevolking bij de nieuwe stadsuitbreiding, die na de afbraak van de stadsmuren vanaf 1874 kon beginnen. De aanleg van het Kronenburgerpark op de voormalige vestingwerken in 1880 was een onderdeel van deze stadsuitleg.
 
De leeuw is in een zittende houding weergegeven en zijn voorpoten rusten op het wapenschild van de gemeente Nijmegen. Met zijn opengesperde muil heeft het dier een woeste uitdrukking. Zijn kop heeft hij iets naar links gewend. Op de korte voorzijde van de sokkel staat de inscriptie: ‘Aangeboden door de Vereeniging tot verfraaiing van Nijmegen 1886’. 

Samen met zijn zoon Henri jr. heeft hij de zandstenen leeuw gemaakt. Verwijzend naar de maker, wordt het beeld wel ‘De leeuw van Leeuw’ genoemd.

De leeuw is gemaakt voor plaatsing in een openbaar wandelgebied. Het stadsbestuur had in die tijd een schone, gezonde en fraaie stad voor ogen waarbij parken met beelden moesten worden opgenomen in de inrichting van de stad. De Leuvense tuinarchitect P.L. Rosseels (1843-1921) maakte hiervoor een ontwerp in Engelse landsschapsstijl. In 1880 werd het park aangelegd. 
Rosseels heeft in zijn ontwerp gebruik gemaakt van bestaande elementen, zoals de hoogteverschillen in het terrein en de restanten van de oude vestingmuur met de drie torens.
Langs de stadswal werd een wandelpad aangelegd. De 15e eeuwse Kronenburgertoren kreeg de functie van uitkijktoren. Door de toevoeging van nieuwe elementen (zoals een zeer gevarieerde beplanting en de aanleg van een waterval met een vijver en een sprookjesachtige grot) werd het Kronenburgerpark een geliefde plek binnen het nieuwe Nijmegen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=26"
"Leeuw","1886","Henri Leeuw sr.","Kronenburgerpark",51.8459542,5.85780483,"Trots en fierheid spreken uit deze twee meter hoge zandstenen leeuw op een even zo hoge sokkel. Deze houding heeft betrekking op het trotse gevoel van de Nijmeegse bevolking bij de nieuwe stadsuitbreiding, die na de afbraak van de stadsmuren vanaf 1874 kon beginnen. De aanleg van het Kronenburgerpark op de voormalige vestingwerken in 1880 was een onderdeel van deze stadsuitleg.
 
De leeuw is in een zittende houding weergegeven en zijn voorpoten rusten op het wapenschild van de gemeente Nijmegen. Met zijn opengesperde muil heeft het dier een woeste uitdrukking. Zijn kop heeft hij iets naar links gewend. Op de korte voorzijde van de sokkel staat de inscriptie: ‘Aangeboden door de Vereeniging tot verfraaiing van Nijmegen 1886’. 

Samen met zijn zoon Henri jr. heeft hij de zandstenen leeuw gemaakt. Verwijzend naar de maker, wordt het beeld wel ‘De leeuw van Leeuw’ genoemd.

De leeuw is gemaakt voor plaatsing in een openbaar wandelgebied. Het stadsbestuur had in die tijd een schone, gezonde en fraaie stad voor ogen waarbij parken met beelden moesten worden opgenomen in de inrichting van de stad. De Leuvense tuinarchitect P.L. Rosseels (1843-1921) maakte hiervoor een ontwerp in Engelse landsschapsstijl. In 1880 werd het park aangelegd. 
Rosseels heeft in zijn ontwerp gebruik gemaakt van bestaande elementen, zoals de hoogteverschillen in het terrein en de restanten van de oude vestingmuur met de drie torens.
Langs de stadswal werd een wandelpad aangelegd. De 15e eeuwse Kronenburgertoren kreeg de functie van uitkijktoren. Door de toevoeging van nieuwe elementen (zoals een zeer gevarieerde beplanting en de aanleg van een waterval met een vijver en een sprookjesachtige grot) werd het Kronenburgerpark een geliefde plek binnen het nieuwe Nijmegen.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=26"
"Vier stadswapens","1886","Henri Leeuw sr.","Grote Markt (Waaggebouw)",51.8478125,5.86369593,"Het huidige waaggebouw is in 1612-13 gebouwd in de Hollandse renaissancestijl, naar het ontwerp van Meester Cornelis Janssen van Delft. Het gebouw kreeg al meteen na de bouw meerdere functies. Aan de rechterzijde bevond zich de stadswaag. De grote poort die hiervan de toegang vormt, was bedoeld om karren binnen te laten rijden. In het linker deel, achter de bordestrap, lag de vleeshal. Onder de trap waren korte tijd zelfs twee kleine woningen. De bovenverdieping huisvestte - tot in 1885 - de militaire hoofdwacht. Aan dit laatste feit dankt het straatje links van de waag overigens haar naam: Achter de Hoofdwacht.

Het waaggebouw is erg opvallend door alle rijke versieringen aan de buitenzijde. De sierlijke natuursteenelementen, dakkapelletjes, glas-in-loodramen en nog oorspronkelijke zwart-rode luiken geven het gebouw een levendige aanblik. Op de eerste verdieping zijn bij de toegangsdeur twee reliëfs geplaatst die elk twee leeuwen afbeelden die het stadswapen vasthouden. De balustrade van de bordestrap wordt bekroond met twee wapendragende leeuwen.
Twee paar Karyatiden sieren de voorzijde van de bordestrap.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=27"
"Twee paar Karyatiden (kraagstenen)","1886","Henri Leeuw sr.","Grote Markt (Waaggebouw)",51.847744,5.863739,"Het huidige waaggebouw is in 1612-13 gebouwd in de Hollandse renaissancestijl, naar het ontwerp van Meester Cornelis Janssen van Delft. Het gebouw kreeg al meteen na de bouw meerdere functies. Aan de rechterzijde bevond zich de stadswaag. De grote poort die hiervan de toegang vormt, was bedoeld om karren binnen te laten rijden. In het linker deel, achter de bordestrap, lag de vleeshal. Onder de trap waren korte tijd zelfs twee kleine woningen. De bovenverdieping huisvestte - tot in 1885 - de militaire hoofdwacht. Aan dit laatste feit dankt het straatje links van de waag overigens haar naam: Achter de Hoofdwacht.

Het waaggebouw is erg opvallend door alle rijke versieringen aan de buitenzijde. De sierlijke natuursteenelementen, dakkapelletjes, glas-in-loodramen en nog oorspronkelijke zwart-rode luiken geven het gebouw een levendige aanblik. Op de eerste verdieping zijn bij de toegangsdeur twee reliëfs geplaatst die elk twee leeuwen afbeelden die het stadswapen vasthouden. De balustrade van de bordestrap wordt bekroond met twee wapendragende leeuwen.
Twee paar Karyatiden sieren de voorzijde van de bordestrap.","gemeente Nijmegen","www.noviomagus.nl","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=28"
"Stadswapen","1888","Henri Leeuw jr.","Hunnerpark (Belvédère)",51.8474758,5.87240419,"Deze steen, het stadswapen van Nijmegen voorstellende, is in 1888 vervaardigd door Henri Leeuw junior en senior. Het is een kopie van de oorspronkelijke steen uit 1646, die door Gerhard Gröninger werd gemaakt. De twee figuren onderaan houden een doek vast, met de tekst: 'beata gens cuius dominus spes eius', ofwel: 'Gelukkig het volk, dat zijn hoop op God stelt'.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=29"
"Stadswapen","1888","Henri Leeuw sr.","Hunnerpark (Belvédère)",51.8474758,5.87240419,"Deze steen, het stadswapen van Nijmegen voorstellende, is in 1888 vervaardigd door Henri Leeuw junior en senior. Het is een kopie van de oorspronkelijke steen uit 1646, die door Gerhard Gröninger werd gemaakt. De twee figuren onderaan houden een doek vast, met de tekst: 'beata gens cuius dominus spes eius', ofwel: 'Gelukkig het volk, dat zijn hoop op God stelt'.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=29"
"Wapen","1888","Onbekend","Van der Brugghenstraat 5",51.8440872,5.86908191,"Geen omschrijving.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=30"
"Reliëf (Landschap met molen)","1889","Onbekend","Van Berchenstraat 35",51.8451426,5.85925777,"Op de hoek van de Van Berchenstraat en Parkweg bevindt zich een reliëf, uitgevoerd in cement. Te zien is de Polmolen die tot 1887 op de St. Jacobstoren stond. Met het slechten van de wallen verdween ook de molen.","particulier","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=31"
"Vier jaargetijden","1889","Mathurin Moreau","Nassausingel",51.843229,5.858481,"De vier gietijzeren standbeelden stellen de vier jaargetijden voor. Ze werden gegoten bij de beroemde Parijse gieterij Societé des Fonderies du Val d'Osne. Ze staan op sokkels van Naamse steen, die Matthijs van Roggen (1863-1909) maakte. De geschilderde beelden stellen respectievelijk vanaf het Keizer Karelplein de godinnen Flora (met uitbottende tak, lente), Ceres (met korenaren, zomer), Pomona (met druiventros, herfst) en Vesta (met vuurpot, winter) voor. De vier godinnen hebben min of meer dezelfde klassieke lichaamshouding, hetzelfde opgestoken haar en dezelfde klassieke gewaden. 

In 1889 werden ze aan de stad geschonken door twee plaatselijke verenigingen: het Baron Paulus Straalmanfonds (opgericht in 1826) en de Vereniging tot Verfraaiing van Nijmegen en Omstreken (opgericht in 1879). 

De beelden werden gegoten naar een ontwerp van de Franse beeldhouwer Mathurin Moreau. 
De maker van de sokkels, de in Nijmegen geboren Matthijs van Roggen, was de eigenaar van een steengroeve in de omgeving van Luik.

De godinnen hebben vanaf begin jaren zestig tot eind 2012 in het Hunnerpark gestaan omdat het midden van de Nassausingel als parkeerstrook werd ingericht. Na de aanleg van de Keizer Karel parkeergarage werd het groen van de  Nassausingel in ere hersteld en keerden de dames terug.","gemeente Nijmegen","","http://www.nijmegen.nl/kos/kunstwerk.aspx?id=32"
